seed,N,strategy,probe_idx,true_index,attack_success,pixel_i,pixel_j,pixel_value,original_value,perturbation_l2,retrieved_index,evaluations
44,100,class_balanced,37,65,0,8,24,0.8801,0.0,0.8801,65,40400
44,100,class_balanced,38,57,0,4,25,0.8879,0.0,0.8879,57,40400
44,100,class_balanced,39,48,0,1,2,0.619,0.0,0.619,48,40400
44,100,class_balanced,40,45,0,19,15,0.5462,0.9961,0.4499,45,40400
44,100,class_balanced,41,20,0,22,5,0.2452,0.6078,0.3626,20,40400
44,100,class_balanced,42,31,0,22,27,0.3844,0.0,0.3844,31,40400
44,100,class_balanced,43,2,0,25,20,0.315,0.0,0.315,2,40400
44,100,class_balanced,44,98,0,23,9,0.829,0.0,0.829,98,40400
44,100,class_balanced,45,39,0,23,6,0.3675,0.0,0.3675,39,40400
44,100,class_balanced,46,18,0,27,7,0.3647,0.0,0.3647,18,40400
44,100,class_balanced,47,69,0,10,6,0.7572,0.0,0.7572,69,40400
44,100,class_balanced,48,71,0,9,26,0.0036,0.0,0.0036,71,40400
44,100,class_balanced,49,36,0,22,11,0.4487,0.0,0.4487,36,40400
45,100,class_balanced,0,73,0,12,22,0.3034,0.0,0.3034,73,40400
45,100,class_balanced,1,19,0,21,11,0.9879,0.0,0.9879,19,40400
45,100,class_balanced,2,66,0,6,27,0.7925,0.0,0.7925,66,40400
45,100,class_balanced,3,86,0,8,18,0.7601,0.8745,0.1144,86,40400
45,100,class_balanced,4,88,0,8,16,0.0795,0.0157,0.0638,88,40400
45,100,class_balanced,5,18,1,23,12,0.8664,0.0,0.8664,13,40400
45,100,class_balanced,6,45,0,5,15,0.9538,0.0,0.9538,45,40400
45,100,class_balanced,7,2,0,3,25,0.7115,0.0,0.7115,2,40400
45,100,class_balanced,8,89,0,25,1,0.4392,0.0,0.4392,89,40400
45,100,class_balanced,9,50,0,20,13,0.2033,0.0,0.2033,50,40400
45,100,class_balanced,10,70,0,0,1,0.0888,0.0,0.0888,70,40400
45,100,class_balanced,11,82,0,19,14,0.0083,0.0,0.0083,82,40400
45,100,class_balanced,12,30,0,15,23,0.3923,0.0,0.3923,30,40400
45,100,class_balanced,13,65,0,13,8,0.49,0.0,0.49,65,40400
45,100,class_balanced,14,35,0,12,6,0.3048,0.0,0.3048,35,40400
45,100,class_balanced,15,75,0,20,12,0.0193,0.0,0.0193,75,40400
45,100,class_balanced,16,3,0,26,2,0.013,0.0,0.013,3,40400
45,100,class_balanced,17,17,0,26,12,0.0836,0.0,0.0836,17,40400
45,100,class_balanced,18,16,1,9,14,0.4678,0.0588,0.409,12,40400
45,100,class_balanced,19,68,1,19,18,0.1398,0.6824,0.5425,63,40400
45,100,class_balanced,20,53,0,3,9,0.8806,0.0,0.8806,53,40400
45,100,class_balanced,21,91,0,0,21,0.8533,0.0,0.8533,91,40400
45,100,class_balanced,22,97,0,0,11,0.0479,0.0,0.0479,97,40400
45,100,class_balanced,23,13,0,9,27,0.371,0.0,0.371,13,40400
45,100,class_balanced,24,95,0,4,20,0.7942,0.0,0.7942,95,40400
45,100,class_balanced,25,15,0,14,22,0.929,0.0,0.929,15,40400
45,100,class_balanced,26,23,0,16,18,0.4315,0.0,0.4315,23,40400
45,100,class_balanced,27,99,0,11,18,0.1516,0.9961,0.8444,99,40400
45,100,class_balanced,28,29,0,3,7,0.723,0.0,0.723,29,40400
45,100,class_balanced,29,48,0,0,21,0.1504,0.0,0.1504,48,40400
45,100,class_balanced,30,69,0,4,13,0.0095,0.0,0.0095,69,40400
45,100,class_balanced,31,63,0,0,23,0.3314,0.0,0.3314,63,40400
45,100,class_balanced,32,80,0,26,3,0.0865,0.0,0.0865,80,40400
45,100,class_balanced,33,67,0,0,24,0.0403,0.0,0.0403,67,40400
45,100,class_balanced,34,44,0,19,16,0.0405,0.3216,0.2811,44,40400
45,100,class_balanced,35,4,1,23,22,0.1583,0.0,0.1583,5,40400
45,100,class_balanced,36,31,0,9,24,0.8175,0.0,0.8175,31,40400
45,100,class_balanced,37,39,0,4,6,0.226,0.0,0.226,39,40400
45,100,class_balanced,38,34,0,18,4,0.445,0.0471,0.398,34,40400
45,100,class_balanced,39,33,1,9,20,1.0,0.0,1.0,36,40400
45,100,class_balanced,40,5,0,10,22,0.2769,0.2863,0.0093,5,40400
45,100,class_balanced,41,77,0,2,23,0.2391,0.0,0.2391,77,40400
45,100,class_balanced,42,94,0,5,14,0.0129,0.0,0.0129,94,40400
45,100,class_balanced,43,7,0,16,7,0.1347,0.0,0.1347,7,40400
45,100,class_balanced,44,1,0,11,1,0.6046,0.0,0.6046,1,40400
45,100,class_balanced,45,52,0,23,4,0.8399,0.0,0.8399,52,40400
45,100,class_balanced,46,55,0,18,16,0.901,0.0,0.901,55,40400
45,100,class_balanced,47,11,0,11,1,0.7145,0.0,0.7145,11,40400
45,100,class_balanced,48,51,0,22,21,0.9258,0.0,0.9258,51,40400
45,100,class_balanced,49,37,0,24,26,0.2888,0.0,0.2888,37,40400
46,100,class_balanced,0,34,0,3,6,0.3712,0.0,0.3712,34,40400
46,100,class_balanced,1,77,1,13,18,1.0,0.0,1.0,70,40400
46,100,class_balanced,2,20,0,16,11,0.6396,0.7216,0.082,20,40400
46,100,class_balanced,3,52,0,24,11,0.3124,0.0,0.3124,52,40400
46,100,class_balanced,4,81,0,6,23,0.9349,0.0,0.9349,81,40400
46,100,class_balanced,5,65,0,13,13,0.2547,0.6941,0.4394,65,40400
46,100,class_balanced,6,95,1,9,9,0.9955,0.0,0.9955,91,40400
46,100,class_balanced,7,50,0,10,21,0.2113,0.102,0.1093,50,40400
46,100,class_balanced,8,87,0,18,6,0.7699,0.0,0.7699,87,40400
46,100,class_balanced,9,7,0,20,19,0.5204,0.0,0.5204,7,40400
46,100,class_balanced,10,40,0,5,13,0.1079,0.0,0.1079,40,40400
46,100,class_balanced,11,53,0,8,6,0.3903,0.4941,0.1038,53,40400
46,100,class_balanced,12,94,0,24,12,0.6511,0.9686,0.3175,94,40400
46,100,class_balanced,13,0,0,17,20,0.3052,0.0,0.3052,0,40400
46,100,class_balanced,14,85,0,16,19,0.916,0.0,0.916,85,40400
46,100,class_balanced,15,74,1,18,5,1.0,0.0,1.0,21,40400
46,100,class_balanced,16,54,0,1,7,0.6714,0.0,0.6714,54,40400
46,100,class_balanced,17,18,0,12,15,0.9506,0.0,0.9506,18,40400
46,100,class_balanced,18,3,0,2,27,0.6796,0.0,0.6796,3,40400
46,100,class_balanced,19,66,0,27,13,0.0155,0.0,0.0155,66,40400
46,100,class_balanced,20,68,0,2,20,0.6695,0.0,0.6695,68,40400
46,100,class_balanced,21,97,1,0,12,0.725,0.0,0.725,94,40400
46,100,class_balanced,22,13,1,4,18,1.0,0.0,1.0,19,40400
46,100,class_balanced,23,59,0,19,3,0.4573,0.0,0.4573,59,40400
46,100,class_balanced,24,1,0,25,9,0.0389,0.0,0.0389,1,40400
46,100,class_balanced,25,56,0,13,1,0.1864,0.0,0.1864,56,40400
46,100,class_balanced,26,39,0,19,21,0.7456,0.0,0.7456,39,40400
46,100,class_balanced,27,32,0,12,11,0.7839,0.0,0.7839,32,40400
46,100,class_balanced,28,35,0,8,10,0.1129,0.0,0.1129,35,40400
46,100,class_balanced,29,73,0,13,1,0.5184,0.0,0.5184,73,40400
46,100,class_balanced,30,12,0,25,26,0.3161,0.0,0.3161,12,40400
46,100,class_balanced,31,76,0,9,20,0.9539,0.0,0.9539,76,40400
46,100,class_balanced,32,24,0,13,18,0.2184,0.0,0.2184,24,40400
46,100,class_balanced,33,27,0,19,17,0.0419,0.0,0.0419,27,40400
46,100,class_balanced,34,4,0,2,2,0.1783,0.0,0.1783,4,40400
46,100,class_balanced,35,88,0,10,11,0.8865,0.0,0.8865,88,40400
46,100,class_balanced,36,72,0,19,6,0.764,0.0,0.764,72,40400
46,100,class_balanced,37,64,0,22,11,0.5901,0.0,0.5901,64,40400
46,100,class_balanced,38,57,0,22,9,0.6527,0.9451,0.2924,57,40400
46,100,class_balanced,39,83,0,27,10,0.8379,0.0,0.8379,83,40400
46,100,class_balanced,40,92,0,4,10,0.4736,0.0,0.4736,92,40400
46,100,class_balanced,41,99,0,22,24,0.244,0.0,0.244,99,40400
46,100,class_balanced,42,22,0,0,23,0.1391,0.0,0.1391,22,40400
46,100,class_balanced,43,46,0,13,17,0.9981,0.9961,0.002,46,40400
46,100,class_balanced,44,63,0,4,23,0.1955,0.0,0.1955,63,40400
46,100,class_balanced,45,15,0,2,9,0.0462,0.0,0.0462,15,40400
46,100,class_balanced,46,42,0,25,12,0.1695,0.0,0.1695,42,40400
46,100,class_balanced,47,79,0,14,23,0.8963,0.0,0.8963,79,40400
46,100,class_balanced,48,98,0,1,4,0.4871,0.0,0.4871,98,40400
46,100,class_balanced,49,90,0,8,23,0.9901,0.0,0.9901,90,40400
