N,strategy,noise_type,magnitude,mse,accuracy,cosine
100,random,flip,0.2,0.06096328729768829,0.5,0.8074815392494201
100,random,flip,0.3,0.07855353806608725,0.38,0.7544378435611725
100,random,flip,0.5,0.11235704638063908,0.18,0.6553403794765472
100,random,occlusion,0.5,0.03761124860980472,0.64,0.8735201960802078
100,class_balanced,gaussian,0.05,0.008093867078614805,0.88,0.9659925127029418
100,class_balanced,gaussian,0.1,0.01010808728423486,0.88,0.9598622441291809
100,class_balanced,gaussian,0.2,0.026868378525553363,0.74,0.9034710115194321
100,class_balanced,gaussian,0.3,0.052539928205695044,0.6,0.8307970947027207
100,class_balanced,gaussian,0.5,0.08894620276469553,0.4,0.723996353149414
100,class_balanced,flip,0.05,0.006647844473968747,0.88,0.9714478838443756
100,class_balanced,flip,0.1,0.020730654787395532,0.78,0.9215135240554809
100,class_balanced,flip,0.2,0.0426104115340604,0.6,0.8508831268548965
100,class_balanced,flip,0.3,0.07178742146867767,0.48,0.7682618713378906
100,class_balanced,flip,0.5,0.13255102462350937,0.2,0.607788171172142
100,class_balanced,occlusion,0.5,0.014955945215188615,0.84,0.9477674353122711
500,random,gaussian,0.05,0.03329157552105679,0.64,0.8838745057582855
500,random,gaussian,0.1,0.045977879351438065,0.54,0.8481268572807312
500,random,gaussian,0.2,0.07036937505820616,0.4,0.7842137306928635
500,random,gaussian,0.3,0.0897095164809184,0.28,0.7312009590864181
500,random,gaussian,0.5,0.11450403554809327,0.24,0.6695053380727768
500,random,flip,0.05,0.041625112133503166,0.56,0.8589668017625809
500,random,flip,0.1,0.05888888400054428,0.48,0.8162482434511185
500,random,flip,0.2,0.08170434988194099,0.34,0.7536152142286301
500,random,flip,0.3,0.10101996630430221,0.24,0.7010041898488999
500,random,flip,0.5,0.14149292449804515,0.1,0.5982359343767166
500,random,occlusion,0.5,0.07314072046263462,0.28,0.7566508710384369
500,class_balanced,gaussian,0.05,0.043245611876038224,0.6,0.8882509577274322
500,class_balanced,gaussian,0.1,0.05528043112939301,0.52,0.8581760704517365
500,class_balanced,gaussian,0.2,0.09896053214091857,0.32,0.7607444244623184
500,class_balanced,gaussian,0.3,0.12318658479368388,0.26,0.7115558671951294
500,class_balanced,gaussian,0.5,0.16204628460109366,0.06,0.6258134633302689
500,class_balanced,flip,0.05,0.0468637045814104,0.54,0.8744841766357422
500,class_balanced,flip,0.1,0.062280071143269326,0.48,0.8394394958019257
500,class_balanced,flip,0.2,0.10872298741713166,0.28,0.737222473025322
500,class_balanced,flip,0.3,0.14284918990361647,0.16,0.6677810382843018
500,class_balanced,flip,0.5,0.17677946873009204,0.0,0.5945304667949677
500,class_balanced,occlusion,0.5,0.04954685607090374,0.52,0.862761133313179
1000,random,gaussian,0.05,0.09249688898307801,0.3,0.7831928026676178
1000,random,gaussian,0.1,0.1162754047350571,0.24,0.7381891083717346
1000,random,gaussian,0.2,0.16800339249350446,0.14,0.6492270010709763
1000,random,gaussian,0.3,0.1977211046654986,0.08,0.6001126402616501
1000,random,gaussian,0.5,0.2108745616674423,0.04,0.5770885938405991
1000,random,flip,0.05,0.1059592341275009,0.26,0.7591645759344101
1000,random,flip,0.1,0.14176715119450298,0.2,0.6955835878849029
1000,random,flip,0.2,0.18559152516050745,0.12,0.6220736032724381
1000,random,flip,0.3,0.2094802451133728,0.04,0.5786155015230179
