seed,N,strategy,sigma,mean_l2,attack_mean_l2,failure_rate
43,1000,random,0.1,2.8,0.3982,0.64
44,1000,random,0.01,0.28,0.464,0.66
44,1000,random,0.02,0.56,0.464,0.68
44,1000,random,0.05,1.4,0.464,0.72
44,1000,random,0.1,2.8,0.464,0.76
45,1000,random,0.01,0.28,0.5164,0.6
45,1000,random,0.02,0.56,0.5164,0.6
45,1000,random,0.05,1.4,0.5164,0.64
45,1000,random,0.1,2.8,0.5164,0.72
46,1000,random,0.01,0.28,0.3144,0.4
46,1000,random,0.02,0.56,0.3144,0.4
46,1000,random,0.05,1.4,0.3144,0.44
46,1000,random,0.1,2.8,0.3144,0.54
42,1000,class_balanced,0.01,0.28,0.3854,0.52
42,1000,class_balanced,0.02,0.56,0.3854,0.54
42,1000,class_balanced,0.05,1.4,0.3854,0.54
42,1000,class_balanced,0.1,2.8,0.3854,0.62
43,1000,class_balanced,0.01,0.28,0.3847,0.56
43,1000,class_balanced,0.02,0.56,0.3847,0.56
43,1000,class_balanced,0.05,1.4,0.3847,0.6
43,1000,class_balanced,0.1,2.8,0.3847,0.64
44,1000,class_balanced,0.01,0.28,0.2948,0.42
44,1000,class_balanced,0.02,0.56,0.2948,0.42
44,1000,class_balanced,0.05,1.4,0.2948,0.42
44,1000,class_balanced,0.1,2.8,0.2948,0.46
45,1000,class_balanced,0.01,0.28,0.3257,0.44
45,1000,class_balanced,0.02,0.56,0.3257,0.46
45,1000,class_balanced,0.05,1.4,0.3257,0.48
45,1000,class_balanced,0.1,2.8,0.3257,0.58
46,1000,class_balanced,0.01,0.28,0.4386,0.52
46,1000,class_balanced,0.02,0.56,0.4386,0.52
46,1000,class_balanced,0.05,1.4,0.4386,0.52
46,1000,class_balanced,0.1,2.8,0.4386,0.62
