method,seed,probe,class,baseline_correct,attack_success,cosine_delta,pixel_i,pixel_j,l2
raw,46,7,Horse,0,1,0.0,0,11,0.9971
raw,46,8,Ship,0,1,0.0,20,15,0.8982
raw,46,9,Truck,0,1,0.0,0,24,0.978
centered,42,0,Airplane,1,0,0.0,16,25,0.9266
centered,42,1,Automobile,1,0,-0.0,8,25,0.9822
centered,42,2,Bird,1,0,-0.0,16,15,1.0
centered,42,3,Cat,1,0,0.0,7,5,0.7029
centered,42,4,Deer,1,0,0.0,21,28,0.9999
centered,42,5,Dog,1,0,0.0,27,20,0.9826
centered,42,6,Frog,1,0,-0.0,28,28,0.9999
centered,42,7,Horse,1,0,0.0,31,30,0.8912
centered,42,8,Ship,1,0,0.0,0,24,0.8676
centered,42,9,Truck,1,0,0.0,28,9,0.8744
centered,43,0,Airplane,1,0,-0.0,27,29,0.8213
centered,43,1,Automobile,1,0,-0.0,28,9,0.9564
centered,43,2,Bird,1,0,0.0,1,9,0.952
centered,43,3,Cat,1,0,0.0,11,3,0.9976
centered,43,4,Deer,1,0,0.0,7,1,0.8867
centered,43,5,Dog,1,0,0.0,6,23,0.8853
centered,43,6,Frog,1,0,-0.0,29,8,0.957
centered,43,7,Horse,1,0,-0.0,5,8,0.9678
centered,43,8,Ship,1,0,0.0,15,4,0.9964
centered,43,9,Truck,1,0,-0.0,11,7,0.938
centered,44,0,Airplane,1,0,1e-06,16,6,0.8236
centered,44,1,Automobile,1,0,0.0,18,6,1.0
centered,44,2,Bird,1,0,0.0,20,15,0.9743
centered,44,3,Cat,1,0,0.0,13,26,0.9373
centered,44,4,Deer,1,0,-0.0,0,3,0.9604
centered,44,5,Dog,1,0,-0.0,14,29,0.9839
centered,44,6,Frog,1,0,1e-06,20,14,0.869
centered,44,7,Horse,1,0,0.0,7,3,0.9461
centered,44,8,Ship,1,0,0.0,25,0,0.9999
centered,44,9,Truck,1,0,-0.0,25,1,1.0
centered,45,0,Airplane,1,0,0.0,13,14,0.9288
centered,45,1,Automobile,1,0,0.0,24,11,0.9255
centered,45,2,Bird,1,0,-1e-06,20,13,0.9425
centered,45,3,Cat,1,0,0.0,27,29,0.9884
centered,45,4,Deer,1,0,0.0,13,0,0.889
centered,45,5,Dog,1,0,-0.0,3,0,0.9999
centered,45,6,Frog,1,0,0.0,27,20,0.8127
centered,45,7,Horse,1,0,0.0,2,16,0.9114
centered,45,8,Ship,1,0,0.0,29,19,0.8433
centered,45,9,Truck,1,0,0.0,20,26,0.9461
centered,46,0,Airplane,1,0,-0.0,18,6,0.9082
centered,46,1,Automobile,1,0,0.0,17,27,0.9895
centered,46,2,Bird,1,0,-0.0,5,12,0.908
centered,46,3,Cat,1,0,0.0,25,26,0.942
centered,46,4,Deer,1,0,-1e-06,22,14,0.9467
centered,46,5,Dog,1,0,0.0,17,13,0.9216
centered,46,6,Frog,1,0,-0.000361,18,11,0.8127
centered,46,7,Horse,1,0,-0.0,3,7,0.9932
centered,46,8,Ship,1,0,0.0,15,25,0.9937
centered,46,9,Truck,1,0,0.0,2,22,0.9467
